Дата обращения;Канал;Тема;Регион;Оценка;Время решения, ч;Решено
02.03.2026;Чат;Возврат;Сибирь;4;45,2;Да
05.06.2026;Телефон;Техподдержка;Юг;5;17,1;Нет
19.05.2026;Мобильное приложение;Техподдержка;СПб;2;45,8;Нет
04.01.2026;Телефон;Доставка;Сибирь;1;21,9;Да
10.03.2026;Мобильное приложение;Бонусы;Урал;4;28,6;Нет
04.02.2026;Почта;Оплата;Москва;2;35,8;Да
22.06.2026;Мобильное приложение;Возврат;Урал;5;60,1;Да
17.05.2026;Мобильное приложение;Бонусы;СПб;3;49,2;Да
13.03.2026;Чат;Возврат;Сибирь;5;41,1;Да
12.06.2026;Почта;Возврат;Москва;1;34,9;Нет
23.01.2026;Почта;Оплата;Урал;2;1,7;Нет
17.04.2026;Телефон;Оплата;Сибирь;5;54,9;Нет
31.05.2026;Почта;Бонусы;Юг;5;17,2;Да
21.03.2026;Телефон;Оплата;Москва;5;38,7;Да
15.04.2026;Почта;Бонусы;Юг;2;49,8;Да
22.03.2026;Почта;Доставка;Урал;4;33,3;Нет
14.06.2026;Телефон;Бонусы;Сибирь;3;31,2;Да
19.03.2026;Мобильное приложение;Возврат;Сибирь;3;39,6;Да
17.04.2026;Почта;Оплата;Урал;5;42,5;Да
16.01.2026;Почта;Техподдержка;Юг;3;44,0;Да
06.05.2026;Телефон;Бонусы;Москва;1;69,4;Да
10.06.2026;Мобильное приложение;Возврат;Сибирь;5;23,2;Да
17.02.2026;Почта;Возврат;Сибирь;3;21,8;Нет
27.01.2026;Телефон;Бонусы;СПб;3;36,2;Да
03.03.2026;Почта;Доставка;Урал;1;7,6;Да
27.03.2026;Чат;Техподдержка;СПб;1;24,4;Да
26.05.2026;Мобильное приложение;Возврат;СПб;1;2,7;Да
22.03.2026;Чат;Возврат;Юг;1;58,1;Да
31.05.2026;Чат;Техподдержка;Юг;5;57,2;Да
29.04.2026;Почта;Техподдержка;Юг;4;41,0;Да
16.04.2026;Чат;Доставка;Москва;4;67,9;Нет
24.05.2026;Чат;Оплата;Урал;5;69,4;Да
28.02.2026;Телефон;Бонусы;Юг;1;58,4;Да
09.01.2026;Чат;Техподдержка;Сибирь;1;1,2;Да
13.02.2026;Почта;Доставка;Москва;5;38,8;Да
06.06.2026;Телефон;Возврат;СПб;3;70,0;Нет
16.01.2026;Почта;Доставка;СПб;1;38,6;Да
13.02.2026;Чат;Возврат;СПб;1;35,3;Нет
13.01.2026;Почта;Доставка;Юг;5;38,1;Нет
14.01.2026;Мобильное приложение;Возврат;Москва;1;55,9;Да
01.02.2026;Телефон;Оплата;Урал;1;61,6;Да
12.05.2026;Мобильное приложение;Возврат;СПб;3;5,4;Нет
15.06.2026;Мобильное приложение;Бонусы;Юг;3;19,3;Да
20.04.2026;Телефон;Доставка;Сибирь;1;51,6;Нет
21.01.2026;Чат;Оплата;Юг;4;43,6;Нет
12.06.2026;Телефон;Бонусы;Урал;1;27,0;Нет
29.06.2026;Почта;Техподдержка;Урал;4;1,6;Да
18.05.2026;Почта;Бонусы;Москва;4;16,4;Да
08.01.2026;Почта;Возврат;Сибирь;3;9,0;Да
19.06.2026;Мобильное приложение;Оплата;Юг;5;38,4;Да
02.05.2026;Чат;Доставка;Урал;1;38,1;Да
18.06.2026;Мобильное приложение;Доставка;Москва;3;60,6;Да
07.01.2026;Телефон;Техподдержка;Юг;5;21,8;Да
10.01.2026;Чат;Оплата;Сибирь;1;67,3;Да
21.05.2026;Почта;Бонусы;СПб;1;17,7;Да
15.06.2026;Чат;Техподдержка;Сибирь;4;18,4;Нет
31.03.2026;Мобильное приложение;Оплата;Урал;5;17,2;Нет
11.02.2026;Мобильное приложение;Бонусы;Сибирь;5;49,5;Да
14.06.2026;Мобильное приложение;Доставка;СПб;1;36,0;Нет
28.06.2026;Мобильное приложение;Бонусы;СПб;2;19,5;Да
07.02.2026;Почта;Доставка;Сибирь;3;48,4;Нет
02.06.2026;Почта;Доставка;Юг;1;19,5;Нет
21.02.2026;Чат;Бонусы;Юг;2;23,4;Да
18.04.2026;Мобильное приложение;Бонусы;СПб;4;41,9;Да
04.05.2026;Телефон;Техподдержка;Москва;4;65,6;Да
15.06.2026;Телефон;Доставка;Юг;2;64,1;Да
05.02.2026;Чат;Бонусы;Москва;3;12,5;Да
22.03.2026;Чат;Техподдержка;Москва;1;8,8;Да
16.03.2026;Телефон;Возврат;Урал;5;52,9;Да
02.01.2026;Телефон;Возврат;Юг;4;27,5;Да
23.02.2026;Мобильное приложение;Техподдержка;СПб;5;23,2;Да
20.01.2026;Мобильное приложение;Оплата;Урал;5;65,5;Да
16.05.2026;Почта;Возврат;Урал;3;47,8;Да
28.01.2026;Почта;Бонусы;Сибирь;5;8,4;Нет
11.05.2026;Почта;Оплата;Юг;5;53,5;Да
15.02.2026;Почта;Техподдержка;Москва;1;67,1;Да
26.03.2026;Мобильное приложение;Бонусы;Юг;2;33,1;Да
15.02.2026;Телефон;Оплата;СПб;5;39,2;Нет
02.04.2026;Телефон;Возврат;Юг;4;4,1;Да
11.01.2026;Мобильное приложение;Бонусы;Юг;2;50,2;Да
27.03.2026;Мобильное приложение;Техподдержка;Сибирь;1;25,6;Да
08.02.2026;Почта;Бонусы;Москва;1;40,8;Да
17.02.2026;Чат;Бонусы;Урал;4;58,8;Да
01.06.2026;Чат;Техподдержка;СПб;5;38,1;Да
21.02.2026;Почта;Возврат;Юг;1;60,7;Нет
15.04.2026;Мобильное приложение;Возврат;Сибирь;5;22,5;Нет
16.05.2026;Почта;Техподдержка;Москва;5;14,0;Да
28.01.2026;Чат;Техподдержка;СПб;5;45,1;Да
19.02.2026;Чат;Оплата;Сибирь;4;8,3;Да
18.06.2026;Чат;Доставка;Урал;1;45,0;Да
07.01.2026;Почта;Бонусы;СПб;5;5,9;Да
28.03.2026;Почта;Возврат;Юг;2;6,1;Да
21.01.2026;Почта;Доставка;Москва;2;31,6;Да
05.05.2026;Почта;Оплата;Москва;4;5,9;Да
30.06.2026;Чат;Техподдержка;Урал;4;50,4;Нет
23.02.2026;Мобильное приложение;Возврат;Москва;4;33,1;Нет
23.04.2026;Чат;Техподдержка;Москва;3;26,6;Да
25.04.2026;Почта;Бонусы;Урал;2;69,8;Да
08.03.2026;Почта;Доставка;Урал;5;14,3;Да
06.01.2026;Чат;Бонусы;Урал;5;12,4;Да
05.02.2026;Телефон;Бонусы;СПб;4;35,5;Да
06.01.2026;Мобильное приложение;Техподдержка;Юг;4;2,7;Да
03.03.2026;Мобильное приложение;Оплата;Урал;4;2,2;Да
03.03.2026;Телефон;Техподдержка;Урал;2;12,1;Да
30.03.2026;Телефон;Бонусы;Москва;3;20,0;Нет
18.03.2026;Мобильное приложение;Доставка;Сибирь;3;2,5;Да
11.06.2026;Почта;Возврат;Москва;1;49,2;Да
01.06.2026;Телефон;Оплата;Москва;1;1,7;Да
04.05.2026;Телефон;Доставка;Сибирь;3;14,7;Нет
29.03.2026;Мобильное приложение;Возврат;Москва;4;22,1;Нет
23.01.2026;Почта;Доставка;Урал;1;36,7;Да
18.05.2026;Мобильное приложение;Доставка;Урал;5;26,1;Да
03.04.2026;Мобильное приложение;Техподдержка;СПб;4;56,2;Нет
30.03.2026;Почта;Доставка;Сибирь;5;65,9;Нет
05.05.2026;Телефон;Доставка;СПб;1;59,3;Да
27.06.2026;Телефон;Возврат;СПб;5;60,8;Да
06.06.2026;Телефон;Техподдержка;Урал;3;71,8;Да
19.01.2026;Чат;Техподдержка;Москва;3;41,1;Да
26.04.2026;Телефон;Доставка;СПб;1;70,4;Да
30.05.2026;Телефон;Оплата;СПб;3;69,7;Да
24.05.2026;Мобильное приложение;Бонусы;Сибирь;3;56,8;Да
30.04.2026;Чат;Бонусы;Москва;1;59,5;Да
03.06.2026;Телефон;Оплата;СПб;3;6,4;Нет
13.04.2026;Чат;Бонусы;Москва;4;54,9;Да
14.04.2026;Мобильное приложение;Оплата;Юг;5;32,1;Нет
22.02.2026;Телефон;Бонусы;Москва;4;21,8;Да
29.03.2026;Почта;Доставка;Урал;1;66,5;Да
19.04.2026;Телефон;Бонусы;Сибирь;2;18,2;Да
27.03.2026;Чат;Техподдержка;Урал;1;18,3;Да
12.02.2026;Чат;Доставка;Сибирь;4;67,1;Нет
05.04.2026;Чат;Бонусы;Урал;4;64,4;Нет
01.05.2026;Телефон;Возврат;Москва;2;64,3;Да
08.02.2026;Почта;Бонусы;Сибирь;1;46,1;Да
19.02.2026;Чат;Возврат;Урал;4;3,0;Нет
20.02.2026;Почта;Доставка;Москва;4;21,8;Нет
24.04.2026;Телефон;Доставка;СПб;4;55,0;Да
07.04.2026;Почта;Доставка;Урал;3;67,7;Нет
15.05.2026;Чат;Возврат;Юг;3;2,4;Да
02.04.2026;Почта;Доставка;Сибирь;1;1,3;Да
18.05.2026;Телефон;Доставка;Москва;1;14,9;Нет
01.04.2026;Почта;Бонусы;Москва;4;13,6;Да
12.03.2026;Мобильное приложение;Возврат;Москва;5;39,4;Да
26.04.2026;Почта;Возврат;СПб;4;30,3;Да
28.03.2026;Телефон;Оплата;Урал;1;45,3;Да
25.05.2026;Чат;Доставка;Урал;5;54,1;Да
22.05.2026;Чат;Возврат;Москва;2;3,6;Нет
14.06.2026;Телефон;Техподдержка;Урал;5;48,0;Нет
05.04.2026;Чат;Возврат;СПб;1;49,3;Да
15.04.2026;Почта;Техподдержка;Урал;3;57,9;Нет
14.03.2026;Чат;Бонусы;Юг;2;37,7;Нет
05.05.2026;Чат;Техподдержка;Сибирь;5;19,9;Да
28.05.2026;Телефон;Техподдержка;СПб;3;56,6;Да
27.01.2026;Мобильное приложение;Оплата;Юг;1;37,2;Нет
19.02.2026;Почта;Возврат;СПб;4;67,8;Нет
22.03.2026;Телефон;Возврат;СПб;1;68,0;Да
06.06.2026;Мобильное приложение;Бонусы;Юг;1;9,7;Да
16.04.2026;Телефон;Техподдержка;СПб;2;53,2;Да
11.06.2026;Телефон;Оплата;Юг;1;31,2;Нет
29.04.2026;Почта;Возврат;Сибирь;5;3,7;Да
05.05.2026;Чат;Доставка;СПб;2;49,8;Нет
22.06.2026;Мобильное приложение;Оплата;СПб;4;4,2;Да
21.03.2026;Чат;Доставка;СПб;1;37,9;Да
17.05.2026;Чат;Техподдержка;Москва;4;28,3;Да
13.03.2026;Телефон;Доставка;Москва;2;21,5;Нет
01.04.2026;Телефон;Доставка;Москва;3;71,8;Нет
04.03.2026;Телефон;Возврат;Сибирь;4;7,7;Да
02.05.2026;Телефон;Возврат;Сибирь;4;41,1;Нет
18.05.2026;Почта;Техподдержка;СПб;5;33,0;Нет
21.02.2026;Почта;Доставка;Юг;2;23,0;Да
03.02.2026;Телефон;Бонусы;Москва;4;44,4;Да
30.01.2026;Телефон;Доставка;Москва;4;71,4;Да
15.05.2026;Почта;Оплата;Урал;5;41,9;Да
07.02.2026;Чат;Возврат;Урал;5;40,7;Да
01.06.2026;Почта;Бонусы;Юг;3;20,9;Да
11.03.2026;Чат;Оплата;Сибирь;5;16,2;Да
15.06.2026;Чат;Возврат;Урал;3;32,8;Нет
27.03.2026;Чат;Бонусы;Сибирь;5;32,0;Да
18.01.2026;Мобильное приложение;Техподдержка;Сибирь;5;56,0;Да
02.03.2026;Мобильное приложение;Техподдержка;СПб;1;26,6;Да
15.01.2026;Мобильное приложение;Оплата;Урал;4;51,3;Да
04.01.2026;Почта;Возврат;Сибирь;3;28,9;Да
16.06.2026;Телефон;Бонусы;Урал;2;23,5;Да
05.04.2026;Телефон;Бонусы;Москва;2;63,8;Да
24.03.2026;Мобильное приложение;Возврат;СПб;1;2,3;Да
17.05.2026;Мобильное приложение;Возврат;СПб;4;24,6;Да
11.05.2026;Мобильное приложение;Доставка;Урал;2;64,1;Да
22.05.2026;Чат;Оплата;СПб;5;63,6;Нет
08.01.2026;Почта;Техподдержка;Москва;4;60,0;Да
02.05.2026;Почта;Доставка;Урал;2;37,0;Нет
31.05.2026;Почта;Техподдержка;Юг;1;46,2;Да
17.01.2026;Мобильное приложение;Возврат;Москва;1;23,6;Нет
11.06.2026;Телефон;Возврат;Урал;5;16,5;Да
21.02.2026;Мобильное приложение;Оплата;Москва;5;2,2;Да
27.05.2026;Телефон;Доставка;СПб;4;59,4;Нет
14.03.2026;Почта;Техподдержка;Сибирь;2;14,8;Да
29.03.2026;Чат;Бонусы;Сибирь;3;44,8;Да
22.03.2026;Чат;Техподдержка;Москва;4;61,8;Да
07.05.2026;Чат;Доставка;Москва;4;8,9;Нет
24.02.2026;Почта;Доставка;Москва;3;36,1;Нет
24.06.2026;Телефон;Доставка;Урал;3;28,2;Да
14.03.2026;Почта;Возврат;Юг;1;50,1;Да
29.01.2026;Чат;Доставка;Юг;4;12,7;Да
04.03.2026;Мобильное приложение;Доставка;СПб;3;44,0;Да
25.06.2026;Мобильное приложение;Бонусы;Сибирь;4;43,2;Да
24.04.2026;Почта;Оплата;Москва;5;61,9;Нет
05.01.2026;Чат;Возврат;Сибирь;4;49,5;Да
10.04.2026;Мобильное приложение;Возврат;Урал;5;34,9;Да
30.01.2026;Мобильное приложение;Возврат;СПб;5;23,3;Да
16.05.2026;Чат;Возврат;Урал;5;11,2;Нет
06.04.2026;Мобильное приложение;Оплата;Сибирь;3;59,4;Да
09.06.2026;Телефон;Бонусы;Сибирь;3;42,2;Да
19.05.2026;Почта;Техподдержка;Юг;1;30,6;Да
19.04.2026;Мобильное приложение;Возврат;Сибирь;2;18,2;Да
25.05.2026;Мобильное приложение;Оплата;Юг;5;11,9;Нет
14.02.2026;Мобильное приложение;Техподдержка;СПб;4;39,9;Да
28.01.2026;Телефон;Бонусы;Урал;2;12,2;Да
31.01.2026;Телефон;Бонусы;Сибирь;1;66,5;Да
12.04.2026;Почта;Оплата;Урал;3;49,4;Да
08.03.2026;Телефон;Доставка;Москва;4;26,9;Да
09.03.2026;Почта;Доставка;Юг;5;56,2;Да
20.06.2026;Чат;Доставка;Юг;3;52,9;Да
26.01.2026;Чат;Оплата;СПб;4;24,2;Да
25.03.2026;Чат;Доставка;Москва;4;19,6;Да
06.04.2026;Мобильное приложение;Техподдержка;Сибирь;5;49,6;Нет
21.04.2026;Почта;Возврат;Сибирь;3;42,3;Нет
09.02.2026;Телефон;Оплата;СПб;4;46,2;Да
03.02.2026;Чат;Возврат;Юг;1;45,3;Да
21.02.2026;Телефон;Доставка;СПб;1;35,0;Да
08.02.2026;Телефон;Бонусы;Юг;5;52,7;Да
05.02.2026;Телефон;Бонусы;Москва;2;7,1;Да
11.06.2026;Мобильное приложение;Техподдержка;Сибирь;5;32,0;Да
29.06.2026;Телефон;Оплата;Юг;4;12,5;Да
28.03.2026;Почта;Возврат;Москва;1;57,8;Нет
03.01.2026;Мобильное приложение;Возврат;СПб;4;32,7;Да
30.03.2026;Чат;Доставка;СПб;4;28,4;Нет
22.03.2026;Телефон;Бонусы;Сибирь;2;21,1;Да
14.04.2026;Телефон;Бонусы;Юг;2;14,4;Да
13.06.2026;Мобильное приложение;Доставка;Сибирь;5;30,9;Да
17.01.2026;Чат;Техподдержка;Сибирь;5;7,5;Да
23.04.2026;Чат;Возврат;Сибирь;2;16,5;Да
01.02.2026;Телефон;Техподдержка;Москва;4;57,8;Нет
06.01.2026;Телефон;Оплата;Урал;5;0,6;Нет
04.01.2026;Телефон;Возврат;Юг;3;58,9;Нет
18.03.2026;Почта;Доставка;Юг;5;6,7;Да
30.01.2026;Чат;Доставка;Москва;2;53,7;Да
11.06.2026;Чат;Оплата;Юг;5;61,6;Да
07.05.2026;Телефон;Возврат;Урал;1;30,5;Да
24.05.2026;Мобильное приложение;Техподдержка;Урал;3;43,4;Да
24.03.2026;Почта;Техподдержка;Юг;4;53,9;Да
02.04.2026;Телефон;Возврат;Урал;4;34,5;Да
28.03.2026;Телефон;Доставка;Сибирь;1;44,1;Да
09.04.2026;Чат;Возврат;Москва;2;65,8;Нет
07.03.2026;Мобильное приложение;Техподдержка;Сибирь;5;24,7;Нет
11.01.2026;Почта;Техподдержка;Юг;4;19,8;Да
05.02.2026;Чат;Доставка;Сибирь;1;46,3;Да
04.06.2026;Мобильное приложение;Техподдержка;Урал;4;36,4;Нет
06.06.2026;Чат;Техподдержка;Урал;1;46,6;Да
06.01.2026;Чат;Бонусы;Москва;2;28,7;Да
01.02.2026;Телефон;Бонусы;СПб;3;39,7;Да
19.04.2026;Мобильное приложение;Доставка;СПб;2;49,8;Нет
08.05.2026;Почта;Техподдержка;Сибирь;1;18,5;Да
01.06.2026;Почта;Возврат;Сибирь;4;15,7;Да
14.03.2026;Чат;Оплата;СПб;4;17,8;Да
27.03.2026;Чат;Оплата;Юг;5;22,0;Да
19.05.2026;Чат;Бонусы;Урал;1;36,7;Да
03.03.2026;Чат;Возврат;Сибирь;1;57,0;Да
22.02.2026;Почта;Доставка;Юг;2;65,2;Да
27.04.2026;Мобильное приложение;Возврат;Москва;5;65,2;Да
29.05.2026;Почта;Бонусы;СПб;4;66,4;Да
31.03.2026;Телефон;Оплата;Урал;4;51,6;Да
06.03.2026;Телефон;Бонусы;Сибирь;1;2,1;Да
30.03.2026;Чат;Доставка;Юг;1;8,5;Да
05.06.2026;Телефон;Техподдержка;Юг;5;21,1;Нет
24.04.2026;Мобильное приложение;Доставка;Урал;1;8,9;Да
05.04.2026;Мобильное приложение;Возврат;Урал;5;14,5;Нет
07.04.2026;Мобильное приложение;Возврат;Юг;1;67,3;Да
03.05.2026;Мобильное приложение;Бонусы;Урал;1;34,2;Да
17.02.2026;Чат;Бонусы;Москва;2;12,9;Да
22.03.2026;Телефон;Возврат;Сибирь;1;60,5;Да
04.01.2026;Телефон;Техподдержка;СПб;1;46,2;Нет
31.03.2026;Мобильное приложение;Оплата;Урал;4;63,1;Да
28.01.2026;Телефон;Оплата;СПб;1;20,4;Да
08.01.2026;Чат;Оплата;Урал;1;9,1;Да
25.03.2026;Мобильное приложение;Бонусы;Юг;3;50,4;Да
